reviewid,title,artist,score,best_new_music,author,author_type,pub_date,pub_weekday,pub_day,pub_month,pub_year,artist_artist,genre
22703,mezzanine,massive attack,9.3,0,nate patrin,contributor,2017-01-08,6,8,1,2017,massive attack,electronic
22721,prelapsarian,krallice,7.9,0,zoe camp,contributor,2017-01-07,5,7,1,2017,krallice,metal
22659,all of them naturals,uranium club,7.3,0,david glickman,contributor,2017-01-07,5,7,1,2017,uranium club,rock
22661,first songs,"kleenex, liliput",9.0,1,jenn pelly,associate reviews editor,2017-01-06,4,6,1,2017,kleenex,rock
22661,first songs,"kleenex, liliput",9.0,1,jenn pelly,associate reviews editor,2017-01-06,4,6,1,2017,liliput,rock
22725,new start,taso,8.1,0,kevin lozano,tracks coordinator,2017-01-06,4,6,1,2017,taso,electronic
22722,insecure (music from the hbo original series),various artists,7.4,0,vanessa okoth-obbo,contributor,2017-01-05,3,5,1,2017,various artists,
22704,stillness in wonderland,little simz,7.1,0,katherine st. asaph,contributor,2017-01-05,3,5,1,2017,little simz,rap
22694,tehillim,yotam avni,7.0,0,andy beta,contributor,2017-01-05,3,5,1,2017,yotam avni,electronic
22714,reflection,brian eno,7.7,0,andy beta,contributor,2017-01-04,2,4,1,2017,brian eno,experimental
22724,filthy america its beautiful,the lox,5.3,0,ian cohen,contributor,2017-01-04,2,4,1,2017,the lox,rap
22715,clear sounds/perfetta,harry bertoia,8.0,0,marc masters,contributor,2017-01-04,2,4,1,2017,harry bertoia,experimental
22745,run the jewels 3,run the jewels,8.6,1,sheldon pearce,associate staff writer,2017-01-03,1,3,1,2017,run the jewels,rap
22700,nadir,steven warwick,7.6,0,thea ballard,contributor,2017-01-03,1,3,1,2017,steven warwick,electronic
22720,december 99th,yasiin bey,3.5,0,marcus j. moore,contributor,2017-01-02,0,2,1,2017,yasiin bey,rap
22699,don't smoke rock,"smoke dza, pete rock",7.4,0,dean van nguyen,contributor,2017-01-02,0,2,1,2017,smoke dza,rap
22699,don't smoke rock,"smoke dza, pete rock",7.4,0,dean van nguyen,contributor,2017-01-02,0,2,1,2017,pete rock,rap
22665,punk45: les punks: the french connection (the first wave of french punk 1977-80),various artists,6.6,0,louis pattison,contributor,2017-01-02,0,2,1,2017,various artists,
22666,brnshj (puncak),senyawa,7.4,0,philip sherburne,contributing editor,2017-01-02,0,2,1,2017,senyawa,experimental
